user,employee_name,department,usb_count,gece_email,night_activity,gece_dosya_islemi,ultimate_risk_skoru
FEB0306,Personel_FEB0306,Bilişim / Finans,9.0,8.0,393,61.0,0.09
AIP0394,Personel_AIP0394,Bilişim / Finans,0.0,133.0,764,0.0,0.13
TQS0212,Personel_TQS0212,Bilişim / Finans,0.0,157.0,356,0.0,2.2
QNF0205,Personel_QNF0205,Bilişim / Finans,0.0,64.0,346,0.0,1.37
KJA0152,Personel_KJA0152,Bilişim / Finans,0.0,0.0,692,0.0,4.25
CPG0322,Personel_CPG0322,Bilişim / Finans,33.0,163.0,456,19.0,0.7
FRB0023,Personel_FRB0023,Bilişim / Finans,0.0,608.0,346,0.0,0.0
XHG0902,Personel_XHG0902,Bilişim / Finans,0.0,46.0,346,0.0,0.37
JXH0493,Personel_JXH0493,Bilişim / Finans,0.0,98.0,346,0.0,0.02
UJC0737,Personel_UJC0737,Bilişim / Finans,0.0,86.0,346,0.0,1.18
BAL0044,Personel_BAL0044,Bilişim / Finans,1778.0,130.0,2214,179.0,0.01
JFC0757,Personel_JFC0757,Bilişim / Finans,0.0,0.0,346,0.0,0.26
HKI0171,Personel_HKI0171,Bilişim / Finans,0.0,269.0,345,0.0,0.16
SHW0578,Personel_SHW0578,Bilişim / Finans,0.0,10.0,692,0.0,0.05
GCS0518,Personel_GCS0518,Bilişim / Finans,0.0,0.0,146,0.0,0.35
CBG0490,Personel_CBG0490,Bilişim / Finans,0.0,140.0,346,0.0,1.3
SCF0608,Personel_SCF0608,Bilişim / Finans,0.0,119.0,346,0.0,0.89
RHL0992,Personel_RHL0992,Bilişim / Finans,212.0,63.0,182,20.0,99.28
ESR0693,Personel_ESR0693,Bilişim / Finans,35.0,42.0,249,24.0,98.16
HBB0056,Personel_HBB0056,Bilişim / Finans,0.0,57.0,346,0.0,6.86
KBG0549,Personel_KBG0549,Bilişim / Finans,20.0,204.0,541,25.0,0.02
FUM0015,Personel_FUM0015,Bilişim / Finans,0.0,337.0,692,0.0,0.0
CSH0626,Personel_CSH0626,Bilişim / Finans,0.0,318.0,554,0.0,0.0
